ticker,date,eps_estimate,eps_reported
AMD,2001-10-17,-0.28,-0.28
AMD,2002-01-16,-0.18,-0.05
AMD,2002-04-17,-0.06,-0.03
AMD,2002-07-17,-0.44,-0.54
AMD,2002-10-16,-0.67,-0.74
AMD,2003-01-16,-0.43,-0.68
AMD,2003-04-16,-0.49,-0.42
AMD,2003-07-16,-0.55,-0.4
AMD,2003-10-16,-0.36,-0.11
AMD,2004-01-20,0.04,0.09
AMD,2004-04-14,0.03,0.12
AMD,2004-07-14,0.09,0.09
AMD,2004-10-07,0.12,0.12
AMD,2005-01-18,0.07,0.05
AMD,2005-04-13,0.02,-0.04
AMD,2005-07-13,-0.05,0.03
AMD,2005-10-11,0.08,0.18
AMD,2006-01-18,0.26,0.45
AMD,2006-04-12,0.3,0.42
AMD,2006-07-20,0.2,0.18
AMD,2006-10-18,0.23,0.23
AMD,2007-01-23,0.12,-0.04
AMD,2007-04-19,-0.43,-0.9
AMD,2007-07-19,-0.79,-0.92
AMD,2007-10-18,-0.61,-0.49
AMD,2008-01-17,-0.33,-0.17
AMD,2008-04-17,-0.47,-0.51
AMD,2008-07-17,-0.52,-0.6
AMD,2008-10-16,-0.39,-0.18
AMD,2009-01-22,-0.56,-0.69
AMD,2009-04-21,-0.63,-0.62
AMD,2009-07-21,-0.51,-0.62
AMD,2009-10-15,-0.45,-0.18
AMD,2010-01-21,-0.05,-0.08
AMD,2010-04-15,-0.07,0.06
AMD,2010-07-15,0.06,0.11
AMD,2010-10-14,0.08,0.15
AMD,2011-01-20,0.11,0.14
AMD,2011-04-21,0.05,0.08
AMD,2011-07-21,0.08,0.09
AMD,2011-10-27,0.1,0.15
AMD,2012-01-24,0.16,0.19
AMD,2012-04-19,0.09,0.12
AMD,2012-07-19,0.07,0.06
AMD,2012-10-18,-0.16,-0.2
AMD,2013-01-22,-0.21,-0.14
AMD,2013-04-18,-0.17,-0.13
AMD,2013-07-18,-0.12,-0.09
AMD,2013-10-17,0.02,0.04
AMD,2014-01-21,0.06,0.06
AMD,2014-04-17,0.01,0.02
AMD,2014-07-17,0.03,0.02
AMD,2014-10-16,0.04,0.03
AMD,2015-01-20,0.01,
AMD,2015-04-16,-0.06,-0.09
AMD,2015-07-16,-0.16,-0.17
AMD,2015-10-15,-0.12,-0.17
AMD,2016-01-19,-0.1,-0.1
AMD,2016-04-21,-0.13,-0.12
AMD,2016-07-21,-0.09,-0.05
AMD,2016-10-20,,0.03
AMD,2017-01-31,-0.02,-0.01
AMD,2017-05-01,-0.04,-0.04
AMD,2017-07-25,,0.02
AMD,2017-10-24,0.08,0.1
AMD,2018-01-30,0.05,0.08
AMD,2018-04-25,0.09,0.11
AMD,2018-07-25,0.13,0.14
AMD,2018-10-24,0.12,0.13
AMD,2019-01-29,0.08,0.08
AMD,2019-04-30,0.06,0.06
AMD,2019-07-30,0.08,0.08
AMD,2019-10-29,0.18,0.18
